Row,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
PSII_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,2.38193834705621,4.05405405405405,2.38193580224673,4.05405405405405
Cytb6f_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,4.76372798652882,8.10810810810811,4.76387160449346,8.10810810810811
PSI_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,9.52745597305764,16.2162162162162,9.52774320898691,16.2162162162162
Fd-NADPR_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,3.65902893583567,8.10810810810811,4.45214855993203,8.10810810810811
ATPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,2.04159770851232,3.47490347490348,2.04165925906862,3.47490347490348
RBC_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,1.93432423679791,3.81369200766287,1.93432217020821,3.81361076559948
PGAK_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,3.52108559348363,10.6527619228876,4.14362799733934,10.6526391657478
GAPDH1_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,100,0,100
TPI_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-98.4741881900774,100,-97.9930720909613,100
FBPA_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-4.29991729917293,2.78770263796953,-4.29973264750558,2.78763964040568
FBPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,5.60566018024936,0,5.60547413355331
FTK_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.654705347434301,1.28435937649386,0.654704647961402,1.28433228177962
SBPA_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,5.60566018024895,0,5.60547413355359
SBPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,5.60566018024895,0,5.60547413355359
STK_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.64244927057269,1.27210329963301,0.642448584194354,1.27207621801283
Ru5PE_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,1.29715461800701,2.55646267612684,1.29715323215634,2.55640849979243
R5PI_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.637360814256832,1.26701484331649,0.637360133314749,1.26698776713277
Ru5PK_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,1.93451543226352,3.82347751944336,1.9345133654705,3.82339626692523
PGI_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-3.74844206617608,1.48677057641633,-3.74831802293644,1.48670896873937
PGM_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0556865028703832,2.12683165103192,0.0556864433761367,2.12555881975095
AGPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.055686502870383,2.16375461433618,0.0556864433761367,2.1624590550533
StS_h1,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0275989951536725,1.01391496757067,0.0275989656675175,1.01387787277958
StS_h2,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0278432514351915,2.13591136290111,0.0278432216880684,2.13461583336561
StS_h3,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.000244256281543384,1.97263194483396,0.000244256020585391,1.97255781422484
bAMY1_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.986315972416839,0,0.986278907112338
bAMY2_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.97263194483398,0,1.9725578142244
DPE11_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.986315972416839,0,0.986278907112338
DPE12_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.97238768855245,0,1.97231355820461
DPE13_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.97238768855248,0,1.97231355820374
DPE2_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.03557257408103,0,1.03493618818737
HEXK_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.14995864958672,0,2.14986632375233
StP1_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.10800633998119,0,2.10671084025883
StP21_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.03557257408103,0,1.03493618818737
TPI_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-98.5698030987753,99.9085840811686,-98.5703363538092,99.5264419568863
FBPA_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-1.15000792440651,3.8809526217835,-1.14911331124082,3.8808284369721
FBPase_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,3.95894280783472,0,3.95881853970079
F6PK2_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.90089302859924,0,2.90076989086081
F26BPPh_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.90089302859924,0,2.90076989086081
PGI_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-1.15400494382722,3.87695560236303,-1.15311032639114,3.87683142182211
PGM_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-0.964529183141153,1.52177817216778,-0.963892873148949,1.5217165270897
UGPase_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0710433909395894,1.52177817216789,0.0710433150384157,1.52171652708909
S6PS_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00399701942072802,2.90489004801992,0.00399701515040102,2.90476690601127
S6PPh_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00399701942072802,2.90489004801992,0.00399701515040102,2.90476690601127
SucS_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-1.44960831646277,2.90201949336476,-1.44954674848916,2.901896354422
FrcFD_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.45073478122864,0,1.45067321205119
FrcK_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.90089302859992,0,2.90076989086186
TPS_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,5.40408060487607e-05,0.110214535562982,5.40407483369666e-05,0.11020985938863
TPP_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,5.40408060487607e-05,0.110214535562982,5.40407483369666e-05,0.11020985938863
CeS_c1,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0340593977391563,0.104812886241605,0.034059361350856,0.104809846493812
CeS_c2,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.0340593977391563,0.104812886241605,0.034059361350856,0.104809846493812
CeS_c3,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.0707534885024185,0,0.0707504851429318
MalDH1_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-1.59337529448131,0,-1.59331357291034,0
PEPC1_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.90089302859919,0,2.90076989086084
PEPC2_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-3.08026575396836,0,-3.0801424245924,0
Enol_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-100,0.0992699070733352,-100,0.0992626934735303
PGAM_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-100,0.0992699070732796,-100,0.0992626934734054
PGAK_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-5.71912275862544,-0.00105987663924711,-5.71906529171966,-0.511487403840796
GAPDH2_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00105987663917251,5.71912275862361,0.511487403840778,5.71906529171782
GAPDH3_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,1.54026586364241,0,1.54020419881261
F6PK1_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,2.90089302859921,0,2.90076989086085
F6PK1_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,4.29991729917191,0,4.29973264750453
GAPDH2_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-10.6527619228877,96.4789144065156,-10.6526391657475,95.856372002662
PGAM_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-100,0.934909346368092,-100,0.934882286544
Enol_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-100,0.934909346368042,-100,0.934882286544097
PyrK_c,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,4.34087447940184,0,4.34068978397576
PyrK_h,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,4.34087447940223,0,4.34068978397555
PyrDH1_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00291259876921401,1.15413970062607,0.00291259565744895,1.15409610104339
PyrDH2_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00291259876921401,1.15413970062607,0.00291259565744895,1.15409610104339
DHLAcT_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00291259876921401,1.15413970062607,0.00291259565744895,1.15409610104339
DHLDH2_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00291259876921401,1.29563696419574,0.00291259565744895,1.29552950768162
CitS_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00291259876924244,1.15413970062611,0.00291259565744895,1.15409610104348
cACNDHA_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.678450465544315,0,0.678424018169631
cACNHA_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.67845046554436,0,0.678424018169778
iCitDHNAD_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.614273899881925,0,0.614247521072074
KGDH_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.614246586244092,0,0.614247521072211
DHLST_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.614246586244092,0,0.614247521072211
SCACoAL_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.614246586244092,0,0.614247521072211
cplx2_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.00629059000409379,0.6454054795169,0.0214983542970009,0.645379067446841
FumHA_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0,0.639087575874995,0,0.63908848416358
MalDH1_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,-1.58408777630333,100,-1.58287905283037,100
cplx1_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.337867313821431,4.34097842993057,0.391856459200939,4.34098245464726
cplx3_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.344364377593985,4.37231648333296,0.413561287045816,4.37232047456975
cplx4_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.172182188796992,2.18615824166735,0.206780643522908,2.18616023728478
cplx5_m,8.2e-05,0.000164746782258928,8.2e-05,0.00057659917077322,0.854413880211756,10.8994531549296,1.01219838976973,10.8994631665049
